"decade","genre","platform","num_games","total_na_sales","total_eu_sales","total_jp_sales","total_other_sales","total_global_sales"
2000,"Strategy","PS","6","0.01","0.01","2.34","0.16","2.51"
2000,"Compilation","PS3","2","1.54","0.62","0","0.33","2.49"
2000,"Trivia/Board Game","X360","6","1.46","0.68","0","0.23","2.37"
2000,"Compilation","PS","4","1.31","0.89","0","0.15","2.33"
2000,"Rhythm/Music","PSP","11","1.02","0.46","0.46","0.34","2.29"
2000,"Strategy","PS3","8","1.08","0.65","0.14","0.30","2.17"
2000,"Compilation","X360","8","1.44","0.48","0.01","0.18","2.09"
2000,"Adventure","PC","29","0.02","1.73","0","0.24","2.03"
2000,"Racing","DC","3","1.1","0.51","0.32","0.08","2.01"
2000,"Adventure","GB","2","0.87","0.52","0.55","0.06","2.00"
2000,"Party/Minigames","GBA","7","1.23","0.47","0.28","0.03","2.00"
2000,"Party/Minigames","XB","5","1.52","0.42","0","0.07","2.00"
2000,"Rhythm/Music","XB","8","1.46","0.41","0","0.06","1.95"
2000,"Compilation","Wii","8","1.68","0.07","0.01","0.14","1.91"
2000,"Party/Minigames","N64","1","0.72","0.16","1.01","0.02","1.91"
2000,"Role-Playing","N64","4","0.70","0.21","0.91","0.07","1.90"
2000,"Card Game/Casino","DS","25","1.02","0.06","0.60","0.09","1.80"
2000,"Trivia/Board Game","PS","6","1.00","0.68","0","0.13","1.78"
2000,"Card Game/Casino","PS","5","0.50","0.34","0.59","0.09","1.53"
2000,"Sports","DC","4","1.02","0.05","0.32","0.02","1.41"
2000,"Card Game/Casino","PSP","14","0.94","0","0.34","0.08","1.37"
2000,"Card Game/Casino","XB","7","0.97","0.28","0","0.04","1.30"
2000,"Educational","Wii","6","1.08","0.02","0.08","0.10","1.27"
2000,"Puzzle","GB","1","0.29","0.17","0.75","0.02","1.23"
2000,"Trivia/Board Game","PSP","5","0.39","0.44","0.13","0.25","1.21"
2000,"Action","DC","2","0.41","0.23","0.51","0.03","1.18"
2000,"Educational","PSP","9","0.44","0.01","0.68","0.04","1.16"
2000,"Adventure","DC","8","0","0","1.16","0","1.16"
2000,"Puzzle","N64","4","0.90","0.19","0","0.01","1.11"
2000,"Racing","PC","24","0.03","0.90","0","0.16","1.10"
2000,"Strategy","GB","2","0","0","1.09","0","1.09"
2000,"Puzzle","PS","5","0.54","0.36","0","0.06","0.95"
2000,"Card Game/Casino","GB","1","0","0","0.83","0","0.83"
2000,"Trivia/Board Game","GBA","7","0.58","0.20","0","0","0.80"
2000,"Rhythm/Music","GBA","5","0.32","0.12","0.3","0.01","0.78"
2000,"Fighting","DC","7","0","0","0.78","0","0.78"
2000,"Fighting","N64","3","0.31","0.07","0.34","0.05","0.77"
2000,"Role-Playing","DC","4","0","0","0.68","0","0.68"
2000,"Party/Minigames","X360","4","0.56","0.05","0","0.05","0.68"
2000,"Visual Novel","XB","6","0.49","0.14","0","0.02","0.67"
2000,"Rhythm/Music","PS","5","0.15","0.11","0.35","0.04","0.66"
2000,"Party/Minigames","PSP","4","0.25","0.15","0.13","0.07","0.60"
2000,"Puzzle","XB","8","0.43","0.11","0","0.02","0.57"
2000,"Simulation","N64","2","0.21","0.05","0.26","0.05","0.57"
2000,"Puzzle","X360","4","0.33","0.04","0.15","0.04","0.55"
2000,"Educational","PS","1","0.28","0.19","0","0.03","0.5"
2000,"Simulation","PS","3","0.25","0.17","0","0.03","0.44"
2000,"Misc","PS3","2","0.28","0.08","0.02","0.05","0.44"
2000,"Puzzle","PS3","1","0.26","0.05","0.06","0.04","0.42"
2000,"Trivia/Board Game","XB","4","0.25","0.08","0","0","0.34"
2000,"Role-Playing","PSV","1","0.13","0.06","0.07","0.04","0.3"
2000,"Card Game/Casino","X360","3","0.25","0.01","0","0.02","0.29"
2000,"Misc","GC","1","0","0","0.27","0.01","0.28"
2000,"Puzzle","PC","10","0.03","0.19","0","0.04","0.26"
2000,"Compilation","N64","1","0.19","0.05","0","0","0.24"
2000,"Misc","PSP","4","0","0","0.15","0","0.15"
2000,"Platform","PC","5","0","0.12","0","0.03","0.15"
2000,"Card Game/Casino","PS3","3","0.08","0.01","0.04","0.01","0.14"
2000,"Fighting","PC","1","0.07","0.04","0","0.02","0.13"
2000,"Platform","DC","1","0","0","0.12","0","0.12"
2000,"Fitness","XB","1","0.07","0.02","0","0","0.09"
2000,"Compilation","PC","3","0","0.08","0","0.01","0.08"
2000,"Trivia/Board Game","GC","1","0","0","0.07","0","0.08"
2000,"Card Game/Casino","Wii","2","0.06","0","0","0","0.07"
2000,"Shooter","DC","2","0","0","0.07","0","0.07"
2000,"Party/Minigames","PS3","2","0.05","0","0.01","0","0.06"
2000,"Visual Novel","PSP","2","0.02","0","0.04","0","0.06"
2000,"Card Game/Casino","GC","1","0.04","0.01","0","0","0.05"
2000,"Fitness","PS2","1","0.02","0.02","0","0.01","0.04"
